index,innumcluster,overlaps,stretches,position,friction,middleCharge,otherCharge,otherparam,AnzahlLinks
720,0,0.0,0.0,0.0,0.225,-18,-22,14,644
721,0,0.0,0.0,0.0,0.225,-18,-22,15,644
728,0,0.0,0.0,0.0,0.225,-18,-18,14,644
729,0,0.0,0.0,0.0,0.225,-18,-18,15,644
736,0,0.0,0.0,0.0,0.225,-18,-14,14,644
737,0,0.0,0.0,0.0,0.225,-18,-14,15,644
744,0,0.0,0.0,0.0,0.225,-18,-10,14,644
745,0,0.0,0.0,0.0,0.225,-18,-10,15,644
752,0,0.0,0.0,0.0,0.225,-18,-6,14,644
753,0,0.0,0.0,0.0,0.225,-18,-6,15,644
760,0,0.0,0.0,0.0,0.225,-18,-2,14,644
761,0,0.0,0.0,0.0,0.225,-18,-2,15,644
768,0,0.0,0.0,0.0,0.225,-14,-30,14,644
769,0,0.0,0.0,0.0,0.225,-14,-30,15,644
776,0,0.0,0.0,0.0,0.225,-14,-26,14,644
777,0,0.0,0.0,0.0,0.225,-14,-26,15,644
784,0,0.0,0.0,0.0,0.225,-14,-22,14,644
785,0,0.0,0.0,0.0,0.225,-14,-22,15,644
792,0,0.0,0.0,0.0,0.225,-14,-18,14,644
793,0,0.0,0.0,0.0,0.225,-14,-18,15,644
800,0,0.0,0.0,0.0,0.225,-14,-14,14,644
801,0,0.0,0.0,0.0,0.225,-14,-14,15,644
808,0,0.0,0.0,0.0,0.225,-14,-10,14,644
809,0,0.0,0.0,0.0,0.225,-14,-10,15,644
816,0,0.0,0.0,0.0,0.225,-14,-6,14,644
817,0,0.0,0.0,0.0,0.225,-14,-6,15,644
824,0,0.0,0.0,0.0,0.225,-14,-2,14,644
825,0,0.0,0.0,0.0,0.225,-14,-2,15,644
832,0,0.0,0.0,0.0,0.225,-10,-30,14,644
833,0,0.0,0.0,0.0,0.225,-10,-30,15,644
840,0,0.0,0.0,0.0,0.225,-10,-26,14,644
841,0,0.0,0.0,0.0,0.225,-10,-26,15,644
848,0,0.0,0.0,0.0,0.225,-10,-22,14,644
849,0,0.0,0.0,0.0,0.225,-10,-22,15,644
856,0,0.0,0.0,0.0,0.225,-10,-18,14,644
857,0,0.0,0.0,0.0,0.225,-10,-18,15,644
864,0,0.0,0.0,0.0,0.225,-10,-14,14,644
865,0,0.0,0.0,0.0,0.225,-10,-14,15,644
872,0,0.0,0.0,0.0,0.225,-10,-10,14,644
873,0,0.0,0.0,0.0,0.225,-10,-10,15,644
880,0,0.0,0.0,0.0,0.225,-10,-6,14,644
881,0,0.0,0.0,0.0,0.225,-10,-6,15,644
888,0,0.0,0.0,0.0,0.225,-10,-2,14,644
889,0,0.0,0.0,0.0,0.225,-10,-2,15,644
896,0,0.0,0.0,0.0,0.225,-6,-30,14,644
897,0,0.0,0.0,0.0,0.225,-6,-30,15,644
904,0,0.0,0.0,0.0,0.225,-6,-26,14,644
905,0,0.0,0.0,0.0,0.225,-6,-26,15,644
912,0,0.0,0.0,0.0,0.225,-6,-22,14,644
913,0,0.0,0.0,0.0,0.225,-6,-22,15,644
920,0,0.0,0.0,0.0,0.225,-6,-18,14,644
921,0,0.0,0.0,0.0,0.225,-6,-18,15,644
928,0,0.0,0.0,0.0,0.225,-6,-14,14,644
929,0,0.0,0.0,0.0,0.225,-6,-14,15,644
936,0,0.0,0.0,0.0,0.225,-6,-10,14,644
937,0,0.0,0.0,0.0,0.225,-6,-10,15,644
944,0,0.0,0.0,0.0,0.225,-6,-6,14,644
945,0,0.0,0.0,0.0,0.225,-6,-6,15,644
952,0,0.0,0.0,0.0,0.225,-6,-2,14,644
